side,representation,top_minus_bottom,rank_correlation,low_count,high_count,count,sequence
buy,market_only_static,-1.3812450158092995,-0.009689407301166918,409,571,2358,real
buy,static_p3_proxy,-1.5222825180955073,-0.022494914993533854,661,320,2358,real
buy,top_level_dynamic,-1.6602151150599807,0.002275436905189545,373,653,2339,real
buy,multilevel_shock_absorption,-1.9393798506936686,-0.02238671342762207,492,596,2358,real
sell,market_only_static,-0.6645134438197011,-0.01867348906155836,567,334,2510,real
sell,static_p3_proxy,-1.9386594669147563,-0.00027971975987644654,434,273,2510,real
sell,top_level_dynamic,-0.17080524644566028,-0.020744983279240774,393,527,2498,real
sell,multilevel_shock_absorption,-2.574742795577823,-0.02117834558463598,439,398,2510,real
