date,side,formation_window,response_horizon,high_minus_low_markout,rank_correlation,coefficient,observation_count
2021-04-17,buy,10,60,-0.035082204992703106,-0.017450510963882674,-0.04683718093232782,86029
2021-04-18,buy,10,60,-5.586904883565407,-0.03483842159084366,-0.7226942366200391,86029
2021-04-19,buy,10,60,0.08342958607445733,-0.004091098097153676,-0.0926096289820838,35470
2021-04-17,sell,10,60,0.7800580317124869,0.03490087790834794,0.09894857133983388,86029
2021-04-18,sell,10,60,-1.2803228377781122,0.011244694315734872,0.020766296155012492,86029
2021-04-19,sell,10,60,-0.5667109506789422,-0.025284458442316672,-0.05293930085169008,35470
