split,side,proxy,formation_window,horizon,low_pressure_mean_markout_bps,high_pressure_mean_markout_bps,high_minus_low_markout_bps,rank_correlation,low_count,high_count
validation,buy,P2_market_cancel,2,300,-0.928272036634952,0.026719147252774723,0.9549911838877266,0.0175618863080109,41227,58493
test,buy,P2_market_cancel,2,300,-1.8079679125834067,-1.4129226086556905,0.3950453039277162,0.0126884346130103,47679,22960
validation,buy,P3_full_depth_norm,2,1,0.07289180902533456,-0.039749849695206535,-0.11264165872054109,-0.05875925896240426,72677,41488
test,buy,P3_full_depth_norm,2,1,0.08194977700248256,-0.06822682637964438,-0.15017660338212693,-0.05268922450616634,79137,21016
validation,buy,P3_full_depth_norm,2,5,0.12430756924097294,-0.0396211128508754,-0.16392868209184835,-0.03290863262499126,72648,41477
test,buy,P3_full_depth_norm,2,5,0.13918430593935455,-0.13208521958395297,-0.2712695255233075,-0.026969997549200812,79111,21013
validation,buy,P3_full_depth_norm,2,10,0.17609131743073192,-0.04736400789528394,-0.22345532532601586,-0.028711641937059374,72618,41453
test,buy,P3_full_depth_norm,2,10,0.13739264454397668,-0.13656165269337167,-0.2739542972373483,-0.01716546691809724,79074,21003
validation,buy,P3_full_depth_norm,2,30,0.24931380463280467,-0.1278761982592202,-0.37719000289202487,-0.02624724415438243,72498,41388
test,buy,P3_full_depth_norm,2,30,0.1798436954908291,-0.47198256703585095,-0.6518262625266801,-0.015729248553408483,78962,20972
validation,buy,P3_full_depth_norm,2,60,0.26438917189354855,-0.3440346363693005,-0.608423808262849,-0.02603472322369674,72312,41347
test,buy,P3_full_depth_norm,2,60,0.16331229894886778,-0.8948701259476028,-1.0581824248964706,-0.02153270274198713,78777,20924
validation,buy,P3_full_depth_norm,2,300,-0.5101284589586264,-0.2618962115985611,0.24823224736006527,0.0008573315641535454,71019,40696
test,buy,P3_full_depth_norm,2,300,-0.9568220604256101,-2.174423368591392,-1.217601308165782,-0.01817893456761443,77512,20427
validation,buy,P1_market,5,1,0.00886985671008978,-0.022719573579859816,-0.031589430289949594,-0.003009919535211432,59994,37578
test,buy,P1_market,5,1,0.003101957544214084,-0.07351094874157098,-0.07661290628578506,-0.01068485785074771,75790,20758
validation,buy,P1_market,5,5,0.0344557368308014,-0.06890600905484032,-0.10336174588564172,-0.0058846383217640765,59984,37567
test,buy,P1_market,5,5,-0.009323835379624015,-0.17866249701237452,-0.16933866163275052,-0.011082384938977383,75758,20758
validation,buy,P1_market,5,10,0.04734794567814053,-0.11593882762462493,-0.16328677330276548,-0.008611192349163917,59958,37562
test,buy,P1_market,5,10,-0.04537655782052967,-0.23354394401445563,-0.18816738619392598,-0.00859068711410742,75716,20753
validation,buy,P1_market,5,30,0.05587995701840138,-0.2719866504254256,-0.32786660744382695,-0.010003281993152926,59841,37527
test,buy,P1_market,5,30,-0.05437962801762365,-0.9543544685597601,-0.8999748405421365,-0.00704766641371607,75574,20735
validation,buy,P1_market,5,60,-0.05542987976912506,-0.15681022109835538,-0.10138034132923032,-0.00220374804544527,59655,37434
test,buy,P1_market,5,60,-0.1401050483553427,-1.7679518908923306,-1.6278468425369879,-0.0019653520551059836,75445,20692
validation,buy,P1_market,5,300,-0.9375406926705798,0.24442174517245457,1.1819624378430345,0.013849912825474084,58462,36944
test,buy,P1_market,5,300,-0.4146012824023867,-2.9355359576063798,-2.520934675203993,0.004470991310121058,73988,20209
validation,buy,P2_market_cancel,5,1,-0.10940398882288041,0.0736394551253219,0.18304344394820232,0.08168000401035097,37933,60068
