side,formation_window,horizon,market_only_r2,plus_cancel_r2,plus_replenishment_r2,full_proxy_r2,cancel_increment_r2,replenishment_increment_r2,full_proxy_increment_r2_vs_controls,market_only_rank_correlation,full_proxy_rank_correlation,full_proxy_top_minus_bottom_markout_bps
buy,1,1,0.022817531496516663,0.02266012199974432,0.02638429742282622,0.023818474651058796,-0.00015740949677234273,0.003724175423081899,0.002748593410927591,0.22890783993883473,0.23898696337657668,-0.17758611339889493
buy,1,5,0.021599709594473437,0.021793995603672234,0.023078122944590218,0.020235915842496954,0.00019428600919879635,0.0012841273409179843,0.00106681869875358,0.22981746997658162,0.23227409713143032,-0.3189509999558096
buy,1,10,0.018193168991395114,0.01851843584926882,0.01912902664232352,0.017001031930035992,0.00032526685787370724,0.0006105907930546994,0.0006133442421685231,0.21173974478609203,0.21296354437096304,-0.31819983854703143
buy,1,30,0.01018893982709601,0.0108059571504584,0.010958393886928541,0.008469126580870845,0.0006170173233623899,0.00015243673647014067,0.00025595754809581983,0.13315853463243013,0.13296940894172704,-0.7099080695861374
buy,1,60,0.003524228179106581,0.003985652885843072,0.004019744332344644,0.002777599243664719,0.0004614247067364907,3.409144650157181e-05,-5.469021782777972e-06,0.09000261293792076,0.08945895565789411,-1.0557596532094413
buy,1,300,9.54048163442911e-05,0.00020324848712971466,0.0003122711504330855,0.0002065150851989772,0.00010784367078542356,0.00010902266330337085,0.00011511995877022674,0.031232418995451972,0.030719618485988465,-1.1990680661478823
buy,2,1,0.02375646609575366,0.023594870268605406,0.02571976595531822,0.024117235897972433,-0.00016159582714825316,0.0021248956867128133,0.0021246522166391557,0.23104010982997228,0.23817351885271362,-0.15017660338212693
buy,2,5,0.022004113741213915,0.022184030123328147,0.02294021490192677,0.020479023056651946,0.00017991638211423133,0.0007561847785986231,0.0009552031611772538,0.22952974768534268,0.23148516048335385,-0.2712695255233075
buy,2,10,0.018324444707680798,0.018648702297560993,0.019034748512286148,0.01710376099605515,0.0003242575898801947,0.0003860462147251553,0.0006347528171208872,0.21132723273320045,0.21242097330630103,-0.2739542972373483
buy,2,30,0.010411263853072783,0.011085880947996118,0.01114726571990543,0.008487911240272816,0.0006746170949233354,6.138477190931191e-05,0.00036464694504168005,0.13310797738841268,0.13297653657491165,-0.6518262625266801
buy,2,60,0.0033799425863906274,0.0039055368153964043,0.0038619870622247365,0.0026768960581463608,0.0005255942290057769,-4.354975317166776e-05,1.3425460311133897e-05,0.08999820599037749,0.08945615904001261,-1.0581824248964706
buy,2,300,0.00015338921063823285,0.00026008166578672665,0.0004351070152655012,0.00029889135614324935,0.00010669245514849379,0.00017502534947877457,0.00014693526677300728,0.0315940119649299,0.030959994317529303,-1.217601308165782
buy,5,1,0.024347947043157125,0.024217064657128917,0.024593983501089434,0.024218516654583966,-0.00013088238602820823,0.00037691884396051645,0.0009060745921163349,0.2336617053338533,0.23741671419342347,-0.11130069632351472
buy,5,5,0.021714035028752243,0.021892807848916673,0.02201554986618781,0.020446707778966733,0.00017877282016443008,0.00012274201727113798,0.0005904432073722266,0.22900654730904163,0.23027989292982956,-0.22237871977718227
buy,5,10,0.018458492890020217,0.01872443853664063,0.01873918423195331,0.01728299255071175,0.00026594564662041353,1.4745695312678997e-05,0.0005136952374888981,0.2119896069995026,0.2127672133167271,-0.32645366872954895
buy,5,30,0.010734836812295923,0.011455889862529656,0.01125363783485167,0.008472781021841569,0.0007210530502337331,-0.0002022520276779849,0.00035769776967975453,0.13347669277731528,0.13289767033957628,-0.8033285335914543
buy,5,60,0.0028767749527375264,0.003496752327933561,0.003235368041127118,0.0024137934954947537,0.0006199773751960347,-0.0002613842868064431,-9.825052726564198e-05,0.08982765892315105,0.08888109890398185,-1.2313285301502628
buy,5,300,0.0002897475495784452,0.0003960158309300743,0.0007373852092470434,0.0005652014706937214,0.00010626828135162913,0.0003413693783169691,0.0002688926661504887,0.03184025318077967,0.030636756298506686,-1.2279880275713115
