side,formation_window,horizon,component,subgroup_type,subgroup,low_mean_markout_bps,high_mean_markout_bps,high_minus_low_markout_bps,rank_correlation,observation_count,low_count,high_count
buy,10,60,P3_depth_normalized,depth_tercile,low,0.07714454702759166,-1.913925318528229,-1.9910698655558208,-0.057139025710282426,95069,49609,4415
buy,10,60,P3_depth_normalized,depth_tercile,middle,-0.020365001574133183,-1.2874160345325623,-1.267051032958429,-0.041369789721633514,81880,38323,5481
buy,10,60,P3_depth_normalized,depth_tercile,high,1.6407150899994543,-1.4423554893535557,-3.08307057935301,-0.006642559576059899,30579,5889,6822
sell,10,60,P3_depth_normalized,depth_tercile,low,-0.7813746319013941,-0.22519313661158613,0.556181495289808,0.0005015063104657342,58398,26060,3807
sell,10,60,P3_depth_normalized,depth_tercile,middle,0.40398290324732555,-0.00394993939922277,-0.40793284264654833,0.00987105163696272,97307,42698,5123
sell,10,60,P3_depth_normalized,depth_tercile,high,1.9250807463066473,0.35031760432189346,-1.5747631419847539,-0.017537958529697226,51823,11655,8277
