side,design,total_time_after_shock,weak_absorption_markout,strong_absorption_markout,strong_minus_weak_markout,markout_ci_low,markout_ci_high,quote_survival_difference,quote_survival_ci_low,quote_survival_ci_high,episode_count
buy,descriptive_total_path,10,-1.7903587174261135,-0.4737633838179046,1.316595333608209,0.5039832481789042,2.1558490607453273,0.08239533615374423,0.02836092833154783,0.1280624291412835,1621
buy,strict_future_after_absorption,10,-0.5022292380074052,0.34240037225102,0.8446296102584252,0.4033288043786685,1.223161227030745,0.07630361836327837,0.02659263987013436,0.13163497330766358,1621
buy,descriptive_total_path,30,-2.373508930418871,-0.3290818808934242,2.0444270495254466,0.4634428206960313,3.9918098739133456,0.034758534413429465,-0.009639250019061468,0.0849623691079246,1621
buy,strict_future_after_absorption,30,-1.085379451000175,0.48708187517550644,1.5724613261756815,0.3116876632484485,3.1106223645043047,0.0388782241887724,-0.008667980755312082,0.0848149604991662,1621
buy,descriptive_total_path,60,-2.555783188259482,-0.29164380750444613,2.264139380755036,-0.041707544603138934,5.037717616603955,0.03793072635338124,-0.013086872947100887,0.08600205071469093,1621
buy,strict_future_after_absorption,60,-1.2676537088408386,0.5245199485644909,1.7921736574053295,-0.3777901482163027,4.0788783106911,0.028321711720317166,-0.022083445458244935,0.07440645685257863,1621
buy,descriptive_total_path,120,-2.9051484275082524,-0.1324853021149921,2.7726631253932603,-0.7438357195046189,7.909192806886515,0.007438243169542003,-0.03558574714069522,0.055685825734909634,1621
buy,strict_future_after_absorption,120,-1.6170189480895865,0.6836784539539479,2.3006974020435345,-0.8088169881093027,7.011398683147385,-0.021059102295872045,-0.0660827790839958,0.03677877334119158,1621
buy,descriptive_total_path,300,-0.8223596475802484,-2.5048756283907156,-1.6825159808104673,-5.784852413909302,2.869758016246558,-0.002824005743531588,-0.05403886370938615,0.04114128383353283,1621
buy,strict_future_after_absorption,300,0.4657698318384209,-1.6887118723217829,-2.1544817041602036,-6.216451337297195,2.172271686504063,0.0036205201840149304,-0.04777156768413787,0.053796523580014466,1621
sell,descriptive_total_path,10,-1.6948633711347638,-0.2748792886954307,1.419984082439333,0.8363576356894983,2.0835888935208167,0.13066877554448236,0.0832647129614033,0.1840126674509335,1522
sell,strict_future_after_absorption,10,-0.42142465512040406,0.25462502318298025,0.6760496783033842,0.22517826313757786,1.0559225759307174,0.0646765298695482,0.008311022604036693,0.11709270636931257,1522
sell,descriptive_total_path,30,-1.9888221415817722,0.4277966231357987,2.4166187647175708,1.1604154806719593,3.922883180473679,0.10175802026762215,0.04595394121389014,0.15143590456033051,1522
sell,strict_future_after_absorption,30,-0.7153834255673706,0.957300935014219,1.6726843605815895,0.49799792519934777,3.140655109138215,0.04789415486254972,-0.0066990464006560415,0.09780676665750758,1522
sell,descriptive_total_path,60,-1.4363262468195805,-0.2555081717325737,1.1808180750870068,-0.8589932220338592,3.4442126901904984,0.03644112871619731,-0.016738218023523353,0.08952718030764012,1522
sell,strict_future_after_absorption,60,-0.16288753080519722,0.27399614014580814,0.43688367095100533,-1.4427077962905097,2.585286352974758,0.006239152343093912,-0.045671505533375505,0.05963864969992084,1522
sell,descriptive_total_path,120,-2.008734373170391,-0.9139902965384074,1.0947440766319838,-1.440148450718653,3.393005580046888,0.02301452886176586,-0.02723554990029852,0.06866599960570989,1522
sell,strict_future_after_absorption,120,-0.735295657156031,-0.38448598465999334,0.3508096724960376,-2.1577004693049497,2.762753059698993,0.00837019203851963,-0.045179425498605985,0.05598456495020322,1522
sell,descriptive_total_path,300,-1.8348805691430954,0.33359329762657935,2.168473866769675,-2.859984301982998,7.379227872133786,0.02313000391915354,-0.029560465839118553,0.0731762028415143,1522
sell,strict_future_after_absorption,300,-0.5614418531287244,0.8630976095049563,1.4245394626336807,-3.4180096683903933,6.97355134713991,0.003387268350036443,-0.04513904968544389,0.05064973950842332,1522
