split,side,formation_window,horizon,pressure_quantile,mean_markout_bps,ci_low,ci_high,adverse_frequency,observation_count
test,buy,2,300,2,-1.4613503470668876,-1.8603028217191837,-1.0623978724145915,0.5226877470355731,31625
test,buy,2,300,3,-1.3752006387351532,-1.8064811428727328,-0.9439201345975736,0.5260925761370062,24758
test,buy,2,300,4,-1.6024430291299887,-2.0649318366351244,-1.1399542216248528,0.5287318205504761,21109
test,buy,2,300,5,-1.8154837968326043,-2.277645785814232,-1.3533218078509766,0.5320090743097439,18073
test,buy,2,300,6,-1.8671711378820823,-2.3538376384364685,-1.380504637327696,0.5295349279868029,15761
test,buy,2,300,7,-1.6841146051776166,-2.282880067527281,-1.085349142827952,0.5307603852235159,13914
test,buy,2,300,8,-1.2336139568769107,-1.7890292560188266,-0.6781986577349948,0.5202844674317116,12374
test,buy,2,300,9,-3.5378816769252968,-4.398355661025649,-2.6774076928249446,0.5339392767356411,10342
test,buy,2,300,10,-0.7762195188353933,-1.7968932697160902,0.2444542320453036,0.5303916707982151,10085
validation,buy,5,1,1,0.07217854017165039,0.059814308427091796,0.08454277191620897,0.2722116759239729,42669
validation,buy,5,1,2,0.01408530147859759,0.0029660418116829144,0.025204561145512266,0.26017801975958155,32693
validation,buy,5,1,3,-0.0047496770047905,-0.015405948414173422,0.0059065944045924215,0.2423412630498032,29215
validation,buy,5,1,4,-0.0011378394017855223,-0.011828867582283908,0.009553188778712866,0.22031344183242918,26544
validation,buy,5,1,5,-0.022630329939430382,-0.03309288021459774,-0.012167779664263025,0.2154658829136548,25178
validation,buy,5,1,6,-0.03008589711416119,-0.040522422779560974,-0.01964937144876141,0.19614916550764952,23008
validation,buy,5,1,7,-0.029046395897849093,-0.04008216500624927,-0.018010626789448918,0.1851554758646723,21193
validation,buy,5,1,8,-0.019589441170053883,-0.02999953377800341,-0.009179348562104356,0.1682558310107085,20451
validation,buy,5,1,9,-0.02499548574223827,-0.03553019605132436,-0.014460775433152174,0.1447723965911453,19244
validation,buy,5,1,10,-0.050534535184199106,-0.0616666635988236,-0.03940240676957461,0.14052201423675192,18965
test,buy,5,1,1,0.08447877677265592,0.06561652029650358,0.10334103324880825,0.31580908379596856,53678
test,buy,5,1,2,-0.01193782955374927,-0.027179108096016816,0.003303448988518278,0.27984905660377357,33125
test,buy,5,1,3,-0.03273631388870309,-0.04923106137254207,-0.016241566404864113,0.26419526957075734,25114
test,buy,5,1,4,-0.029464333008123057,-0.04782181383796239,-0.011106852178283722,0.23729061160888196,20536
test,buy,5,1,5,-0.05580358478376863,-0.07195926717962133,-0.039647902387915934,0.22797635800731775,17765
test,buy,5,1,6,-0.03629270453661966,-0.05321009306944191,-0.019375316003797414,0.2058901389808074,15110
test,buy,5,1,7,-0.031044651641038642,-0.049333608444492374,-0.012755694837584906,0.19286897530961583,12677
test,buy,5,1,8,-0.030204161086718105,-0.04848758116643838,-0.011920741006997831,0.1717872191011236,11392
test,buy,5,1,9,-0.01861186647883939,-0.038185231485696004,0.0009614985280172253,0.13853929243880686,10091
test,buy,5,1,10,-0.11449876969353062,-0.15013552445071138,-0.07886201493634987,0.14745098039215687,8925
