side,absorption_state,horizon,mean_depth_recovery_5,mean_spread_response,count
buy,partial_absorption,1,7.026185811422229,0.04671637885923601,3822
buy,strong_absorption,1,17.136985865061312,-0.031262185736275,3899
buy,weak_absorption,1,3.215047617348525,0.07353477072578199,3293
sell,partial_absorption,1,9.158623255551001,0.06504167787039528,3720
sell,strong_absorption,1,33.50234192258771,0.08581761006289308,3499
sell,weak_absorption,1,4.247023707488979,-0.07213249516441002,4139
buy,partial_absorption,2,8.873414760667583,0.046729461015175305,3822
buy,strong_absorption,2,20.911892976422266,0.10838420107719927,3899
buy,weak_absorption,2,3.5723967212546306,0.07173701791679322,3293
sell,partial_absorption,2,10.401150307624418,-0.15076075268817204,3720
sell,strong_absorption,2,39.81682631870334,0.12061160331523292,3499
sell,weak_absorption,2,4.962675753203589,-0.06469920270596762,4139
buy,partial_absorption,5,9.426941750564415,-0.058948194662480365,3822
buy,strong_absorption,5,28.411786648473928,0.03147986663246987,3899
buy,weak_absorption,5,4.158347898664189,0.07128454296993621,3293
sell,partial_absorption,5,12.72134796483216,-0.06702956989247313,3720
sell,strong_absorption,5,46.495382264266176,0.09190625893112316,3499
sell,weak_absorption,5,5.442300539933328,-0.02027549540840984,4139
buy,partial_absorption,10,9.630363499032498,0.3843324607329842,3822
buy,strong_absorption,10,28.3520200103324,-0.01353936906899204,3899
buy,weak_absorption,10,4.325368403568689,0.08308836926814456,3293
sell,partial_absorption,10,14.313327520129482,-0.11464784946236556,3720
sell,strong_absorption,10,56.80268038323636,0.22605030008573876,3499
sell,weak_absorption,10,6.6275570779196435,0.02660865361372978,4139
buy,partial_absorption,30,8.90447587880667,-0.011998953427524859,3822
buy,strong_absorption,30,37.366665742869785,-0.19292895614260067,3899
buy,weak_absorption,30,2.627663349312391,0.21374430610385667,3293
sell,partial_absorption,30,11.708166302346651,-0.13300537634408602,3720
sell,strong_absorption,30,68.7129643963695,0.03365818805372962,3499
sell,weak_absorption,30,3.3804988409654673,0.139625513409036,4139
buy,partial_absorption,60,13.714226064599256,-0.0750431824129809,3822
buy,strong_absorption,60,31.873417008673755,0.18494612621857362,3899
buy,weak_absorption,60,7.105995003940035,0.22814758578803526,3293
sell,partial_absorption,60,18.485828451661927,-0.133410435718128,3720
sell,strong_absorption,60,62.03904092160336,0.1508433390508862,3499
sell,weak_absorption,60,9.985787023880027,0.12040589514375455,4139
buy,partial_absorption,120,13.772454063546043,-0.05639194139194139,3822
buy,strong_absorption,120,31.76686570312258,-0.15719086711133914,3899
buy,weak_absorption,120,8.009783788985066,0.2677011843303978,3293
sell,partial_absorption,120,21.59444799827106,-0.1635476062399139,3720
sell,strong_absorption,120,63.560014440259216,0.13915666094911378,3499
sell,weak_absorption,120,11.588946058985556,0.10321333655472337,4139
buy,partial_absorption,300,14.32317463334096,-0.18393772893772894,3822
buy,strong_absorption,300,39.206336877364244,-0.2765478327776353,3899
buy,weak_absorption,300,7.7399853210291685,0.21414819313695715,3293
sell,partial_absorption,300,21.753049916259428,-0.2935833333333333,3720
sell,strong_absorption,300,62.05078477004978,0.14891397542154902,3499
sell,weak_absorption,300,11.262662956923931,-0.04122251751630829,4139
