side,representation,top_minus_bottom,rank_correlation,low_count,high_count,count
buy,top_level_shock,-1.357401836315571,0.0004534216109785128,374,653,2347
buy,top5_penetration,-2.4431084228886597,-0.024420447581069416,410,573,2366
buy,top15_penetration,-1.649922697327817,-0.009215394311686862,460,526,2366
buy,depth_shape_augmented,-10.384506648131651,-0.24155983499865624,539,511,2366
sell,top_level_shock,-0.030811793753984018,-0.029803864517358943,393,528,2502
sell,top5_penetration,-1.7864139817506857,-0.0406226119814032,570,332,2514
sell,top15_penetration,-2.8851466399156394,-0.018729358216171915,463,317,2514
sell,depth_shape_augmented,-11.288835028039447,-0.29148367354509297,490,350,2514
