sequence,side,strong_minus_weak_markout,quote_survival_difference,dynamic_vs_static_improvement,count
real,buy,1.7921736574053295,0.028321711720317166,3.3413180780808727,2358
real,sell,0.43688367095100533,0.006239152343093912,0.40872533725822835,2510
real,combined,1.0881145923954956,0.01749102084944587,1.8243165257066685,4868
stratified_null_0,buy,0.7652897724255063,0.022487281959949312,0.30436572996804856,2358
stratified_null_0,sell,1.9444632583098502,0.053143021107440735,2.1291949186224546,2510
stratified_null_0,combined,1.3302902906478131,0.039148286571563884,1.2021374625543912,4868
stratified_null_1,buy,-0.969610864019891,0.0019843531902175027,-2.1665467042546123,2358
stratified_null_1,sell,2.2907688747861696,0.0667620793908516,3.880095937617093,2510
stratified_null_1,combined,0.6104190171834118,0.03595749936224746,0.8495242214445359,4868
stratified_null_2,buy,0.5840479479588452,-0.005529381676778522,0.5341272652158855,2358
stratified_null_2,sell,-0.1828687908357466,-0.005441324673870429,-0.4809381895220964,2510
stratified_null_2,combined,0.1031895781146287,-0.0028522722211199447,-0.07462705473467801,4868
stratified_null_3,buy,-0.4467550775259803,0.04026326574001898,1.217414332463348,2358
stratified_null_3,sell,1.077563199198262,-0.009017552208722912,0.7508261948742443,2510
stratified_null_3,combined,0.3087742357364543,0.019421285142188438,0.9468296621679799,4868
stratified_null_4,buy,1.4302573549573425,0.023054240014297178,1.1818382291762288,2358
stratified_null_4,sell,-0.46556507050161466,0.01232433794300436,0.5908095545434414,2510
stratified_null_4,combined,0.48504983919158867,0.02005336875053143,0.9091219484358726,4868
stratified_null_5,buy,1.4213317054498984,0.039129349631323196,3.744897160884543,2358
stratified_null_5,sell,-0.5799379295771705,0.00703698001231734,-0.10055233016241832,2510
stratified_null_5,combined,0.4572909931786162,0.024507108409829836,1.8303653934572177,4868
stratified_null_6,buy,0.9769284375336615,-0.004983992678845972,0.5287948966928462,2358
stratified_null_6,sell,0.9377588298503201,0.034390571636526535,0.2373203596210527,2510
stratified_null_6,combined,0.8482069157761427,0.013032422123331222,0.27003531071253195,4868
stratified_null_7,buy,-0.5357598169344193,0.004438603680913533,-0.7394917801827995,2358
stratified_null_7,sell,0.9880797855203106,0.003537735849056589,1.5613443967378657,2510
stratified_null_7,combined,0.13910124796487455,0.004138305238478912,0.33583363829133983,4868
stratified_null_8,buy,0.7246349352834329,-0.04351403067119819,3.8647205907167606,2358
stratified_null_8,sell,1.0050938491658552,0.0020540563238340415,1.7148413864030965,2510
stratified_null_8,combined,0.8994537144702508,-0.019418855608780317,2.786942105699847,4868
stratified_null_9,buy,-0.3609537772730528,-0.027984310052104666,2.5054540054759795,2358
stratified_null_9,sell,0.43792771976941314,0.0002659425564078277,-0.17984890184461566,2510
stratified_null_9,combined,0.018485054423501165,-0.012414915715436847,1.0891427642872595,4868
stratified_null_10,buy,0.36373638118598817,0.02525736506244236,3.507129870044273,2358
