side,formation_window,horizon,component,subgroup_type,subgroup,low_mean_markout_bps,high_mean_markout_bps,high_minus_low_markout_bps,rank_correlation,observation_count,low_count,high_count
buy,1,1,market_flow,all,all,0.00590686242415515,,,-0.007222104529151491,208413,153535,0
buy,1,1,cancellation,all,all,-0.14787967560787366,0.19919675879006518,0.34707643439793884,0.10563667503095737,208413,71932,9663
buy,1,1,negative_replenishment,all,all,0.36208344392221037,-0.1917379396031219,-0.5538213835253323,-0.15728511632859637,208413,34380,32455
buy,1,1,P2_market_cancel_raw,all,all,-0.13623847893969374,0.17762309856177413,0.31386157750146787,0.09775877004726582,208413,51290,25129
buy,1,1,P3_full_raw,all,all,0.33581709124076675,-0.15328797034087213,-0.4891050615816389,-0.1430239620863648,208413,47154,28309
buy,1,1,P3_depth_normalized,all,all,0.10268356679770005,-0.07490254660119489,-0.17758611339889493,-0.06371804118195482,208413,74941,22452
buy,1,1,inverse_depth_denominator,all,all,0.31820703931273736,-0.20687541307607704,-0.5250824523888145,-0.15308007807718538,208413,15711,51775
buy,1,5,market_flow,all,all,0.007178695163557697,,,-0.008599100881752931,208353,153488,0
buy,1,5,cancellation,all,all,-0.39009857008697857,0.5266580348815064,0.916756604968485,0.12338867461071763,208353,71901,9663
buy,1,5,negative_replenishment,all,all,0.7413791390777181,-0.5303966459625746,-1.2717757850402927,-0.15668277606956155,208353,34377,32445
buy,1,5,P2_market_cancel_raw,all,all,-0.3629456057954354,0.41957956565779625,0.7825251714532316,0.11515980549510198,208353,51265,25126
buy,1,5,P3_full_raw,all,all,0.6440740642112708,-0.36659635460496,-1.0106704188162308,-0.12383523629771175,208353,47139,28304
buy,1,5,P3_depth_normalized,all,all,0.1854002174042151,-0.1335507825515945,-0.3189509999558096,-0.030035563738565262,208353,74916,22448
buy,1,5,inverse_depth_denominator,all,all,0.8373760724205326,-0.5044685178701926,-1.3418445902907252,-0.1714999570700363,208353,15710,51754
buy,1,10,market_flow,all,all,-0.011185112268566033,,,-0.00536587743657776,208278,153429,0
buy,1,10,cancellation,all,all,-0.589355507046881,0.7613782481191155,1.3507337551659964,0.12303213231778584,208278,71864,9662
buy,1,10,negative_replenishment,all,all,0.9959354745763889,-0.7441960455507984,-1.7401315201271874,-0.14279324760442516,208278,34367,32426
buy,1,10,P2_market_cancel_raw,all,all,-0.5254901586431147,0.6178668868672317,1.1433570455103463,0.11591608888296322,208278,51240,25125
buy,1,10,P3_full_raw,all,all,0.7969875093852944,-0.48699210772732376,-1.283979617112618,-0.10500488249949559,208278,47122,28293
buy,1,10,P3_depth_normalized,all,all,0.18706392895547175,-0.13113590959155969,-0.31819983854703143,-0.01951084727265782,208278,74887,22438
buy,1,10,inverse_depth_denominator,all,all,1.188169516326774,-0.7283463758873076,-1.9165158922140817,-0.16152654545261602,208278,15708,51727
buy,1,30,market_flow,all,all,-0.043979027409311505,,,-6.365242039622469e-05,207978,153178,0
buy,1,30,cancellation,all,all,-0.851923501131662,0.9059916830379754,1.7579151841696374,0.07940042790019654,207978,71751,9646
buy,1,30,negative_replenishment,all,all,1.1935098036878053,-1.0967352727376587,-2.290245076425464,-0.09129638178077526,207978,34305,32368
buy,1,30,P2_market_cancel_raw,all,all,-0.6201369135264015,0.5935403932877101,1.2136773068141116,0.07362277286283105,207978,51149,25086
buy,1,30,P3_full_raw,all,all,0.9056408639472968,-0.8612073439999129,-1.7668482079472096,-0.06893736874247428,207978,47047,28243
buy,1,30,P3_depth_normalized,all,all,0.2153468810034826,-0.4945611885826548,-0.7099080695861374,-0.018531718420888486,207978,74774,22402
buy,1,30,inverse_depth_denominator,all,all,1.3668787590825184,-1.006884757486001,-2.3737635165685194,-0.09991146648311924,207978,15687,51636
buy,1,60,market_flow,all,all,-0.08822790143582661,,,-0.004317090883350874,207528,152853,0
buy,1,60,cancellation,all,all,-1.0821518295795955,0.7958442510098515,1.8779960805894471,0.05426719112886329,207528,71632,9628
buy,1,60,negative_replenishment,all,all,1.2411171323247536,-1.2815975425531314,-2.522714674877885,-0.06138696879669481,207528,34240,32308
