fill_prob_decile,n,filled_n,mean_pred_fill_prob,realized_fill_rate,realized_fill_rate_ci95,adverse_fill_rate_cond_fill,adverse_fill_rate_ci95,mean_signed_markout_cond_fill,mean_signed_markout_ci95,mean_trade_depletion_share,expected_posting_value
1,187,36,0.2602263155691821,0.1925133689839572,0.05651105114869483,0.0,0.0,1.106967935841668,0.32718140548051516,0.7794915615467956,0.3820958032567734
2,186,0,0.47397733388241947,0.0,0.0,,,,,,0.0
3,186,46,0.5461797717844393,0.24731182795698925,0.06200541073793361,0.6521739130434783,0.13763850365660926,-0.9695261149911106,0.3917348124158304,0.7346015411246908,-0.10987008439888837
4,186,66,0.5952291255572978,0.3548387096774194,0.06876211808433147,0.5303030303030303,0.12040791527158641,-9.823282195660989,2.697276089925176,0.887373340973191,-3.2849870572879616
5,186,88,0.6239573159070642,0.4731182795698925,0.07175315947960198,0.352112676056338,0.09979420131994321,-6.410941445272073,2.5467893071109717,0.8198608699685653,-2.6930480279862787
6,186,98,0.6485748936773091,0.5268817204301075,0.07175315947960198,0.20238095238095238,0.07954733042521149,-3.9422068695921118,1.911662924029495,0.8252953009875189,-1.6983450924651697
7,186,112,0.6736868745854154,0.6021505376344086,0.07034148396868437,0.09411764705882353,0.05407773464267013,-1.565222199592159,1.3798740954185367,0.8348330777799564,-0.5258500653805023
8,186,142,0.7091341030085971,0.7634408602150538,0.06107411260323092,0.015151515151515152,0.02009206812118812,1.7969562711773919,0.7875327747656947,0.8710253746202855,1.8098222058716984
9,186,119,0.7528980455441378,0.6397849462365591,0.06899180972443357,0.01680672268907563,0.0230963609442326,4.827484758657277,1.2290322197138348,0.8876562424049056,3.38677441461788
10,187,144,0.9350965855719925,0.7700534759358288,0.06031275062780329,0.9513888888888888,0.03512542897189349,-5.684234877152739,0.9945080571581042,0.926138042090066,-3.571491228572991
