flow_bin,depletion_bin,n,mean_flow,mean_depletion,mean_value
1,1,103,-0.5177194028927202,0.009454316129359831,1.1398897184099925
1,2,9,-0.46534485299875183,0.02898524829524695,0.49434282255768064
1,3,4,-0.391304347826087,0.03567035051806625,0.4945983407469612
1,4,43,-0.4298124155619204,0.12948141217519338,0.17345516300333974
2,1,38,-0.26955845482655105,0.011967902188909224,-0.7427738030490602
2,2,39,-0.2480579361681832,0.021573092916643114,0.5418500848761771
2,3,27,-0.19580237963701158,0.03999558157109259,0.46380929352839034
2,4,38,-0.28380960186520293,0.12809157925720116,0.21548692340318093
2,5,14,-0.22530186364253044,0.21642693107321737,-0.025268291043955417
3,1,16,0.012048152594371081,0.013515059495743777,-6.655279791335602
3,2,59,0.016902506193067483,0.02210333325137917,-1.6290889935943427
3,3,26,-0.0038779713234991147,0.055607737065646694,0.47649965974016173
3,4,43,0.02470873613259823,0.11418503967770298,0.39480170437702833
3,5,15,0.029193199349755117,14533333334.64494,-0.6951871898956596
4,1,2,0.17647058823529413,0.010627067570249744,0.5189373869507108
4,2,42,0.2852850611590701,0.02472609795021997,0.8652165839938399
4,3,77,0.33630225287924026,0.05353572707669897,0.5970148994450725
4,4,10,0.20201949039140032,0.1037930351643914,0.43550190540627226
4,5,30,0.355892378245435,16900000001.33855,-0.8915869253187945
5,2,8,0.4859070132967192,0.03070435074328267,0.7507360651352428
5,3,23,0.5123812756413372,0.04826542328995005,-2.0440383525460875
5,4,22,0.536383262555155,0.09095102143641648,-4.004575883525666
5,5,98,0.8334210355940025,10755102041.734282,-6.733462199124896
