step,mid_price,microprice,microprice_deviation,spread_bps,queue_imbalance,signed_trade_volume,order_flow_imbalance
1,10000.0,10000.0206185567,0.02061855670035584,2.0,0.020618556701030927,0,0.0
2,10000.0,9999.980198019803,-0.01980198019737145,2.0,-0.019801980198019802,0,0.0
3,10000.0,9999.947368421053,-0.05263157894660253,2.0,-0.05263157894736842,0,0.0
4,10000.0,9999.970588235294,-0.02941176470631035,2.0,-0.029411764705882353,5,1.0
5,10000.0,9999.990384615385,-0.009615384615244693,2.0,-0.009615384615384616,0,0.0
6,10000.0,10000.023255813954,0.023255813954165205,2.0,0.023255813953488372,0,0.0
7,10000.0,10000.032258064517,0.03225806451700919,2.0,0.03225806451612903,0,0.0
8,10000.0,10000.009433962265,0.009433962264665752,2.0,0.009433962264150943,-5,-1.0
9,10000.0,10000.018691588784,0.018691588784349733,2.0,0.018691588785046728,0,0.0
10,10000.0,10000.045454545454,0.045454545454049367,2.0,0.045454545454545456,0,0.0
11,10000.0,10000.049773755656,0.04977375565613329,2.0,0.049773755656108594,0,0.0
12,10000.0,10000.058295964125,0.05829596412513638,2.0,0.05829596412556054,0,0.0
13,10000.0,10000.02608695652,0.026086956520884996,2.0,0.02608695652173913,0,0.0
14,10000.0,10000.01287553648,0.012875536480351002,2.0,0.012875536480686695,0,0.0
15,10000.0,10000.0,0.0,2.0,0.0,0,0.0
16,10000.0,10000.028806584362,0.028806584361518617,2.0,0.02880658436213992,0,0.0
17,10000.0,10000.032786885246,0.032786885245513986,2.0,0.03278688524590164,0,0.0
18,10000.0,10000.008,0.007999999999810825,2.0,0.008,0,0.0
19,10000.0,9999.992125984252,-0.007874015747802332,2.0,-0.007874015748031496,0,0.0
20,10000.0,9999.972972972973,-0.027027027026633732,2.0,-0.02702702702702703,0,0.0
21,10000.0,10000.02024291498,0.020242914979462512,2.0,0.020242914979757085,12,1.0
22,10000.0,10000.003984063746,0.003984063745519961,2.0,0.00398406374501992,0,0.0
23,9999.5,9999.545454545454,0.045454545454049367,1.000050002500125,0.09090909090909091,0,0.0
24,9999.5,9999.51012145749,0.010121457489731256,1.000050002500125,0.020242914979757085,0,0.0
25,9999.5,9999.479087452472,-0.02091254752849636,1.000050002500125,-0.04182509505703422,0,0.0
26,9999.5,9999.464944649446,-0.035055350554102915,1.000050002500125,-0.07011070110701106,0,0.0
27,9999.5,9999.461538461539,-0.03846153846097877,1.000050002500125,-0.07692307692307693,0,0.0
28,9999.5,9999.458181818181,-0.04181818181859853,1.000050002500125,-0.08363636363636363,0,0.0
29,9999.5,9999.45487364621,-0.04512635379069252,1.000050002500125,-0.09025270758122744,0,0.0
30,9999.5,9999.45,-0.049999999999272404,1.000050002500125,-0.1,0,0.0
31,9999.5,9999.465277777777,-0.03472222222262644,1.000050002500125,-0.06944444444444445,0,0.0
32,9999.5,9999.480286738351,-0.019713261648576008,1.000050002500125,-0.03942652329749104,9,1.0
33,9999.5,9999.491228070176,-0.008771929824433755,1.000050002500125,-0.017543859649122806,0,0.0
34,9999.5,9999.516666666666,0.016666666666424135,1.000050002500125,0.03333333333333333,0,0.0
